Force Min (N),Force Max (N),Average Voltage (V),Sample Count,AvgForce
0.0,1.0,185.87894736842105,133,0.5
1.0,2.0,2119.5370000000003,40,1.5
2.0,3.0,3024.2982857142856,140,2.5
3.0,4.0,3271.402896551725,145,3.5
4.0,5.0,3350.179333333333,30,4.5
5.0,6.0,3475.429090909091,33,5.5
6.0,7.0,3522.781016949152,118,6.5
7.0,8.0,3616.120649350649,77,7.5
8.0,9.0,3628.8585416666665,96,8.5
9.0,10.0,3658.382608695652,138,9.5
10.0,11.0,3669.344933333333,75,10.5
11.0,12.0,3718.369666666667,60,11.5
12.0,13.0,3734.618676470588,68,12.5
13.0,14.0,3754.2427272727273,11,13.5
15.0,16.0,3813.2519298245616,57,15.5
16.0,17.0,3816.296,35,16.5
17.0,18.0,3833.976842105262,19,17.5
18.0,19.0,3849.462068965517,29,18.5
