V_SidePalm[mV],V_ThumpPalm[mV],V_UpperPalm[mV],V_Middle[mV],V_Index[mV],V_Thumb[mV]
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,117.3
0.0,0.0,0.0,0.0,0.0,957.97
0.0,0.0,0.0,0.0,0.0,1512.22
0.0,0.0,0.0,0.0,0.0,1876.83
0.0,0.0,0.0,0.0,0.0,2068.43
0.0,0.0,0.0,0.0,0.0,2154.94
0.0,0.0,0.0,0.0,0.0,2222.87
0.0,0.0,0.0,0.0,0.0,2632.94
0.0,0.0,0.0,0.0,0.0,3016.13
0.0,0.0,0.0,0.0,0.0,3186.22
0.0,0.0,0.0,0.0,0.0,3281.52
0.0,0.0,0.0,0.0,0.0,3347.02
0.0,0.0,0.0,0.0,0.0,3408.11
0.0,0.0,0.0,0.0,0.0,3436.46
0.0,0.0,0.0,0.0,0.0,3351.42
0.0,0.0,0.0,0.0,0.0,1881.72
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,488.27
0.0,0.0,0.0,0.0,0.0,2272.73
0.0,0.0,0.0,0.0,0.0,2753.18
0.0,0.0,0.0,0.0,0.0,2962.85
0.0,0.0,0.0,0.0,0.0,3084.56
0.0,0.0,0.0,0.0,0.0,3150.05
0.0,0.0,0.0,0.0,0.0,3156.4
0.0,0.0,0.0,0.0,0.0,3178.89
0.0,0.0,0.0,0.0,0.0,3187.68
0.0,0.0,0.0,0.0,0.0,3177.91
0.0,0.0,0.0,0.0,0.0,3165.69
0.0,0.0,0.0,0.0,0.0,3147.12
0.0,0.0,0.0,0.0,0.0,3158.85
0.0,0.0,0.0,0.0,0.0,3175.95
0.0,0.0,0.0,0.0,0.0,3165.2
0.0,0.0,0.0,0.0,0.0,2567.45
0.0,0.0,0.0,0.0,0.0,102.15
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1021.99
0.0,0.0,0.0,0.0,0.0,2480.45
0.0,0.0,0.0,0.0,0.0,2824.05
0.0,0.0,0.0,0.0,0.0,3006.84
0.0,0.0,0.0,0.0,0.0,3077.71
0.0,0.0,0.0,0.0,0.0,3051.32
0.0,0.0,0.0,0.0,0.0,3062.07
0.0,0.0,0.0,0.0,0.0,3076.73
0.0,0.0,0.0,0.0,0.0,3096.77
0.0,0.0,0.0,0.0,0.0,3065.98
0.0,0.0,0.0,0.0,0.0,3107.53
0.0,0.0,0.0,0.0,0.0,3105.57
0.0,0.0,0.0,0.0,0.0,2257.58
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1100.68
0.0,0.0,0.0,0.0,0.0,2570.87
0.0,0.0,0.0,0.0,0.0,2886.12
0.0,0.0,0.0,0.0,0.0,3000.49
0.0,0.0,0.0,0.0,0.0,3040.57
0.0,0.0,0.0,0.0,0.0,2942.33
0.0,0.0,0.0,0.0,0.0,2994.13
0.0,0.0,0.0,0.0,0.0,3036.66
0.0,0.0,0.0,0.0,0.0,2994.14
0.0,0.0,0.0,0.0,0.0,2952.1
0.0,0.0,0.0,0.0,0.0,3009.29
0.0,0.0,0.0,0.0,0.0,2989.74
0.0,0.0,0.0,0.0,0.0,2599.71
0.0,0.0,0.0,0.0,0.0,259.53
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,793.26
0.0,0.0,0.0,0.0,0.0,2418.87
0.0,0.0,0.0,0.0,0.0,2667.16
0.0,0.0,0.0,0.0,0.0,2874.39
0.0,0.0,0.0,0.0,0.0,2953.57
0.0,0.0,0.0,0.0,0.0,2806.94
0.0,0.0,0.0,0.0,0.0,2744.87
0.0,0.0,0.0,0.0,0.0,2803.03
0.0,0.0,0.0,0.0,0.0,2835.78
0.0,0.0,0.0,0.0,0.0,2849.46
0.0,0.0,0.0,0.0,0.0,2819.65
0.0,0.0,0.0,0.0,0.0,2870.97
0.0,0.0,0.0,0.0,0.0,3000.49
0.0,0.0,0.0,0.0,0.0,2944.77
0.0,0.0,0.0,0.0,0.0,1217.99
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1480.45
0.0,0.0,0.0,0.0,0.0,2611.44
0.0,0.0,0.0,0.0,0.0,2841.64
0.0,0.0,0.0,0.0,0.0,2922.29
0.0,0.0,0.0,0.0,0.0,2913.0
0.0,0.0,0.0,0.0,0.0,2958.94
0.0,0.0,0.0,0.0,0.0,3038.12
0.0,0.0,0.0,0.0,0.0,3066.96
0.0,0.0,0.0,0.0,0.0,3070.87
0.0,0.0,0.0,0.0,0.0,3080.16
0.0,0.0,0.0,0.0,0.0,1509.78
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1168.62
0.0,0.0,0.0,0.0,0.0,2574.29
0.0,0.0,0.0,0.0,0.0,2879.77
0.0,0.0,0.0,0.0,0.0,2856.31
0.0,0.0,0.0,0.0,0.0,2883.68
0.0,0.0,0.0,0.0,0.0,2978.01
0.0,0.0,0.0,0.0,0.0,3027.37
0.0,0.0,0.0,0.0,0.0,3037.63
0.0,0.0,0.0,0.0,0.0,2814.27
0.0,0.0,0.0,0.0,0.0,530.79
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2157.87
0.0,0.0,0.0,0.0,0.0,2733.14
0.0,0.0,0.0,0.0,0.0,2908.6
0.0,0.0,0.0,0.0,0.0,2948.19
0.0,0.0,0.0,0.0,0.0,2945.75
0.0,0.0,0.0,0.0,0.0,2940.37
0.0,0.0,0.0,0.0,0.0,2966.28
0.0,0.0,0.0,0.0,0.0,2961.39
0.0,0.0,0.0,0.0,0.0,2970.67
0.0,0.0,0.0,0.0,0.0,2943.79
0.0,0.0,0.0,0.0,0.0,2795.21
0.0,0.0,0.0,0.0,0.0,1994.14
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,956.5
0.0,0.0,0.0,0.0,0.0,2267.84
0.0,0.0,0.0,0.0,0.0,2618.28
0.0,0.0,0.0,0.0,0.0,2754.64
0.0,0.0,0.0,0.0,0.0,2777.13
0.0,0.0,0.0,0.0,0.0,2759.53
0.0,0.0,0.0,0.0,0.0,2820.63
0.0,0.0,0.0,0.0,0.0,2788.86
0.0,0.0,0.0,0.0,0.0,2838.71
0.0,0.0,0.0,0.0,0.0,2836.75
0.0,0.0,0.0,0.0,0.0,2871.46
0.0,0.0,0.0,0.0,0.0,2842.13
0.0,0.0,0.0,0.0,0.0,2898.83
0.0,0.0,0.0,0.0,0.0,2925.22
0.0,0.0,0.0,0.0,0.0,2986.8
0.0,0.0,0.0,0.0,0.0,3005.86
0.0,0.0,0.0,0.0,0.0,3001.95
0.0,0.0,0.0,0.0,0.0,2273.22
0.0,0.0,0.0,0.0,0.0,9.29
0.0,0.0,0.0,0.0,0.0,25.9
0.0,0.0,0.0,0.0,0.0,2222.87
0.0,0.0,0.0,0.0,0.0,2844.09
0.0,0.0,0.0,0.0,0.0,2989.74
0.0,0.0,0.0,0.0,0.0,3084.56
0.0,0.0,0.0,0.0,0.0,3152.0
0.0,0.0,0.0,0.0,0.0,3184.75
0.0,0.0,0.0,0.0,0.0,3172.04
0.0,0.0,0.0,0.0,0.0,3110.95
0.0,0.0,0.0,0.0,0.0,3091.89
0.0,0.0,0.0,0.0,0.0,3099.22
0.0,0.0,0.0,0.0,0.0,3116.81
0.0,0.0,0.0,0.0,0.0,3121.7
0.0,0.0,0.0,0.0,0.0,3083.09
0.0,0.0,0.0,0.0,0.0,3092.38
0.0,0.0,0.0,0.0,0.0,3090.42
0.0,0.0,0.0,0.0,0.0,2890.03
0.0,0.0,0.0,0.0,0.0,965.3
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.42
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.31
0.0,0.0,0.0,0.0,0.0,47.9
0.0,0.0,0.0,0.0,0.0,88.95
0.0,0.0,0.0,0.0,0.0,70.38
0.0,0.0,0.0,0.0,0.0,57.18
0.0,0.0,0.0,0.0,0.0,46.43
0.0,0.0,0.0,0.0,0.0,37.63
0.0,0.0,0.0,0.0,0.0,32.75
0.0,0.0,0.0,0.0,0.0,27.37
0.0,0.0,0.0,0.0,0.0,24.44
0.0,0.0,0.0,0.0,0.0,20.04
0.0,0.0,0.0,0.0,0.0,19.06
0.0,0.0,0.0,0.0,0.0,17.11
0.0,0.0,0.0,0.0,0.0,16.62
0.0,0.0,0.0,0.0,0.0,15.64
0.0,0.0,0.0,0.0,0.0,14.17
0.0,0.0,0.0,0.0,0.0,14.66
0.0,0.0,0.0,0.0,0.0,14.17
0.0,0.0,0.0,0.0,0.0,12.71
0.0,0.0,0.0,0.0,0.0,13.69
0.0,0.0,0.0,0.0,0.0,13.2
0.0,0.0,0.0,0.0,0.0,12.22
0.0,0.0,0.0,0.0,0.0,12.22
0.0,0.0,0.0,0.0,0.0,12.71
0.0,0.0,0.0,0.0,4.89,12.71
0.0,0.0,0.0,0.0,5.38,12.71
0.0,0.0,0.0,0.0,5.38,12.71
0.0,0.0,0.0,0.0,0.0,12.71
0.0,0.0,0.0,0.0,0.0,12.71
0.0,0.0,0.0,0.0,0.0,12.22
0.0,0.0,0.0,0.0,0.0,13.69
0.0,0.0,0.0,0.0,12.71,12.22
0.0,0.0,0.0,0.0,16.62,11.73
0.0,0.0,0.0,0.0,20.53,10.26
0.0,0.0,0.0,0.0,24.93,10.26
0.0,0.0,0.0,0.0,29.33,14.17
0.0,0.0,0.0,0.0,34.7,12.71
0.0,0.0,0.0,0.0,38.61,12.22
0.0,0.0,0.0,0.0,43.99,12.71
0.0,0.0,0.0,0.0,47.9,12.71
0.0,0.0,0.0,0.0,51.32,12.71
0.0,0.0,0.0,0.0,56.21,12.71
0.0,0.0,0.0,0.0,56.7,58.65
0.0,0.0,0.0,0.0,59.14,53.27
0.0,0.0,0.0,0.0,61.09,43.5
0.0,0.0,0.0,0.0,63.54,33.24
0.0,0.0,0.0,0.0,72.83,4338.71
0.0,0.0,0.0,0.0,78.69,4912.51
0.0,0.0,0.0,0.0,85.04,4828.45
0.0,0.0,0.0,0.0,89.93,4749.27
0.0,0.0,0.0,0.0,95.31,4672.53
0.0,0.0,0.0,0.0,99.22,4595.8
0.0,0.0,0.0,0.0,104.11,4523.95
0.0,0.0,0.0,0.0,107.53,1348.48
0.0,0.0,0.0,0.0,111.93,6.35
0.0,0.0,0.0,0.0,113.39,0.0
0.0,0.0,0.0,0.0,117.3,0.0
0.0,0.0,0.0,0.0,121.7,6.35
0.0,0.0,0.0,0.0,124.14,9.78
0.0,0.0,0.0,0.0,127.08,12.22
0.0,0.0,0.0,0.0,131.48,14.66
0.0,0.0,0.0,0.0,135.87,14.66
0.0,0.0,0.0,0.0,141.74,14.66
0.0,0.0,0.0,0.0,144.18,11.73
0.0,0.0,0.0,0.0,146.63,0.0
0.0,0.0,0.0,0.0,151.03,0.0
0.0,0.0,0.0,0.0,152.49,0.0
0.0,0.0,0.0,0.0,156.4,0.0
0.0,0.0,0.0,0.0,159.82,0.0
0.0,0.0,0.0,0.0,161.29,0.0
0.0,0.0,0.0,0.0,164.22,0.0
0.0,0.0,0.0,0.0,166.18,0.0
0.0,0.0,0.0,0.0,169.6,0.0
0.0,0.0,0.0,0.0,171.55,0.0
0.0,0.0,0.0,0.0,174.98,0.0
0.0,0.0,0.0,0.0,176.93,0.0
0.0,0.0,0.0,0.0,180.35,0.0
0.0,0.0,0.0,0.0,182.31,0.0
0.0,0.0,0.0,0.0,186.22,0.0
0.0,0.0,0.0,0.0,189.64,0.0
0.0,0.0,0.0,0.0,191.1,0.0
0.0,0.0,0.0,0.0,194.53,0.0
0.0,0.0,0.0,0.0,196.97,0.0
0.0,0.0,0.0,0.0,200.39,0.0
0.0,0.0,0.0,0.0,203.81,0.0
0.0,0.0,0.0,0.0,205.77,0.0
0.0,0.0,0.0,0.0,208.7,0.0
0.0,0.0,0.0,0.0,211.63,0.0
0.0,0.0,0.0,0.0,215.05,0.0
0.0,0.0,0.0,0.0,216.52,0.0
0.0,0.0,0.0,0.0,219.94,0.0
0.0,0.0,0.0,0.0,221.9,0.0
0.0,0.0,0.0,0.0,224.83,0.0
0.0,0.0,0.0,0.0,228.25,0.0
0.0,0.0,0.0,0.0,229.72,0.0
0.0,0.0,0.0,0.0,232.65,0.0
