time,world_time,pos_x[mm],pos_y[mm],pos_z[mm],thumbPos_x[mm],thumbPos_y[mm],thumbPos_z[mm],indexPos_x[mm],indexPos_y[mm],indexPos_z[mm],middlePos_x[mm],middlePos_y[mm],middlePos_z[mm],upperPalmPos_x[mm],upperPalmPos_y[mm],upperPalmPos_z[mm],sidePalmPos_x[mm],sidePalmPos_y[mm],sidePalmPos_z[mm],thumbPalmPos_x[mm],thumbPalmPos_y[mm],thumbPalmPos_z[mm],Wrist_qx,Wrist_qy,Wrist_qz,Wrist_qw,Wrist_yaw[rad],Wrist_pitch[rad],Wrist_roll[rad],V_SidePalm[N],V_ThumbPalm[N],V_UpperPalm[N],V_Middle[N],V_Index[N],V_Thumb[N],SumForce,SumForcePalm
3.0311781,499589.1407,-0.057518482,0.029593706,-0.241935253,-0.008027784,-0.164689502,-0.12549637,-0.234058356,-0.117416384,-0.170120415,-0.054207655,0.065998515,-0.155073188,-0.078052282,-0.019788742,-0.151194632,-0.072330236,0.008478761,-0.191897154,-0.047087669,0.005111098,-0.238746405,0.000147218,0.000736144,-0.000175717,0.999999703,-0.000351218,0.00147234,0.000294177,11.63,8.09,0.0,0,0.0,0,19.72,19.72
3.1552911,499589.2648,-0.081777573,0.02732873,-0.201001763,-0.077072313,-0.149229464,-0.155471867,-0.310943259,-0.076423924,-0.269971187,-0.133185272,0.1317806,-0.262176288,-0.116020441,-0.014841557,-0.175826252,-0.107198954,0.013515353,-0.179603696,-0.077903271,0.007972121,-0.207811594,0.000185566,0.000276756,-0.000328173,0.999999891,-0.000656243,0.000553634,0.00037095,11.7,8.13,0.0,0,0.0,0,19.83,19.83
3.1642977,499589.2738,-0.059306622,0.039041042,-0.232756138,-0.005449676,-0.18592712,-0.110168082,-0.247965557,-0.116397142,-0.166585464,-0.062698495,0.086377482,-0.158365308,-0.088185072,-0.017523766,-0.14359504,-0.080019236,0.017523766,-0.185228884,-0.047147274,0.011727214,-0.227950513,8.08e-05,0.000743853,-0.000254974,0.999999688,-0.000509828,0.001487748,0.00016113,11.8426158,8.394189589,0.0,0,0.0,0,20.23680539,20.236805389
3.1733035,499589.2828,-0.05453825,0.032067299,-0.224292278,0.001906906,-0.209474889,-0.098732533,-0.24538871,-0.13722941,-0.145480117,-0.059180487,0.067025736,-0.134419487,-0.084757805,-0.028520823,-0.12601912,-0.076204538,0.008255243,-0.170528889,-0.042080879,0.002503395,-0.220395625,0.000130307,0.000815333,-0.000264799,0.999999624,-0.000529386,0.001630736,0.000260183,12.0557303,8.803398919,0.0,0,0.0,0,20.85912922,20.859129219
3.1823083,499589.2918,-0.020682812,0.032365322,-0.243663788,0.033906052,-0.203706924,-0.120781906,-0.215303615,-0.131672145,-0.177733795,-0.030015881,0.074740653,-0.169160872,-0.05248189,-0.027358532,-0.153064728,-0.043511391,0.009864569,-0.194579363,-0.008374453,0.003561378,-0.23958832,9.84e-05,0.000761556,-0.000282494,0.999999665,-0.000564838,0.001523167,0.000196385,12.10266364,8.896616492,0.0,0,0.0,0,20.99928013,20.999280132
3.1915809,499589.3011,-0.133991241,0.041991472,-0.163927674,-0.125066221,-0.152874389,-0.112962675,-0.357647122,-0.072494871,-0.208719435,-0.172892782,0.134503701,-0.192813204,-0.163942575,-0.001341105,-0.121660531,-0.156283379,0.024870038,-0.130653381,-0.130534172,0.021085143,-0.172629952,0.000298504,0.000394649,-0.000281309,0.999999838,-0.000562383,0.000789465,0.000596786,12.10724757,8.908019439,0.0,0,0.0,0,21.01526701,21.015267009
3.2005844,499589.3101,-0.172197819,0.043928623,-0.146791339,-0.140541654,-0.180032498,-0.0608599,-0.391543038,-0.102337917,-0.147054417,-0.206778267,0.111266804,-0.136741319,-0.208199024,-0.010788441,-0.08559227,-0.198513269,0.024080276,-0.107876956,-0.164330006,0.017881393,-0.149928033,0.000193292,0.000550995,-0.000332451,0.999999774,-0.000664688,0.001102119,0.000386218,12.11053112,8.916208941,0.0,0,0.0,0,21.02674006,21.026740060999998
3.2096002,499589.3191,-0.163912773,0.041425228,-0.168740749,-0.106972783,-0.196663423,-0.042206895,-0.362696984,-0.120368399,-0.112457985,-0.174163769,0.092926007,-0.106348471,-0.197350979,-0.018179417,-0.083588064,-0.187963247,0.019729137,-0.122800469,-0.151753426,0.012934208,-0.164717436,7.95e-05,0.000724626,-0.000299841,0.999999689,-0.000599568,0.001449299,0.00015853,12.11293267,8.922219679,0.0,0,0.0,0,21.03515235,21.035152349
3.219231,499589.3287,-0.116586685,0.03477931,-0.207483768,-0.070565432,-0.205955379,-0.098958868,-0.319276599,-0.127443247,-0.157407782,-0.130667546,0.083318214,-0.144689619,-0.14770031,-0.023424625,-0.119879842,-0.139147043,0.011399388,-0.155590475,-0.10663271,0.006258488,-0.208057463,0.000216018,0.000737464,-0.000277109,0.999999666,-0.000553901,0.001475047,0.000431628,12.11481608,8.926954258,0.0,0,0.0,0,21.04177033,21.041770338
3.2282457,499589.3378,-0.107288361,0.059634447,-0.217735767,-0.058472292,-0.198728711,-0.105967955,-0.321502733,-0.123578904,-0.16574705,-0.13695158,0.090769141,-0.154165467,-0.14719367,-0.006765127,-0.129953027,-0.136137009,0.035122037,-0.166483223,-0.095844269,0.027671456,-0.217549503,0.000176998,0.000759595,-0.000360594,0.999999631,-0.000720919,0.001519318,0.000353448,12.11621969,8.93049559,0.0,0,0.0,0,21.04671528,21.04671528
