Time,Fx,Fy,Fz,Mx,My,Mz
703,-0.0227825,-0.01979,0.0023145,-3.548e-05,-0.00017508,-0.00060368
1479,-0.0027825,-0.02979,0.0073145,-3.548e-05,-0.00017508,0.00019632
2371,-0.0027825,-0.07979,0.0173145,0.00036452,-0.00017508,0.00059632
3133,0.0672175,-0.03979,-0.0026855,-3.548e-05,0.00022492,0.00139632
3957,-0.0427825,-0.02979,0.0073145,-3.548e-05,0.00022492,0.00019632
4826,-0.0627825,0.05521,0.0123145,-3.548e-05,0.00022492,0.00019632
5635,-0.0227825,-0.01479,0.0173145,0.00036452,-0.00017508,0.00099632
6532,-0.0427825,0.02021,-0.0076855,-3.548e-05,0.00022492,0.00019632
7310,-0.0627825,0.05521,-0.0076855,0.00036452,0.00022492,-0.00060368
8154,-0.0877825,0.07021,0.0123145,0.00036452,-0.00017508,-0.00020368
8955,-0.0877825,0.02021,0.0123145,-3.548e-05,-0.00017508,-0.00060368
9822,-0.0877825,-0.02979,0.0273145,-3.548e-05,-0.00017508,-0.00060368
10622,0.0022175,-0.02979,0.0073145,-3.548e-05,0.00022492,0.00019632
11438,0.0222175,0.03021,0.0023145,-3.548e-05,0.00022492,-0.00020368
12283,0.0022175,0.11521,0.0023145,-3.548e-05,0.00022492,-0.00060368
13132,0.0872175,0.02021,0.0023145,-3.548e-05,0.00022492,0.00099632
13934,0.0622175,0.00521,0.0073145,-3.548e-05,0.00022492,0.00099632
14811,-0.0427825,-0.05479,0.0073145,-3.548e-05,-0.00017508,0.00019632
15748,-0.0877825,-0.05479,0.0273145,-3.548e-05,-0.00017508,0.00019632
16482,-0.0877825,0.07021,0.0123145,-3.548e-05,-0.00017508,0.00059632
17325,-0.0877825,-0.00479,-0.0076855,-3.548e-05,0.00022492,-0.00020368
18130,-0.0227825,-0.06479,0.0073145,-3.548e-05,-0.00017508,-0.00060368
18958,0.0222175,0.00521,0.0023145,-3.548e-05,-0.00057508,0.00019632
19799,0.0222175,0.08021,-0.0176855,-3.548e-05,-0.00017508,0.00099632
20695,0.0222175,0.08021,-0.0176855,-3.548e-05,0.00022492,0.00099632
21465,0.0022175,0.09521,-0.0276855,-3.548e-05,0.00022492,0.00019632
22284,-0.0427825,0.02021,-0.0376855,-3.548e-05,0.00022492,0.00019632
23128,0.0022175,0.07021,-0.0376855,-3.548e-05,0.00022492,0.00139632
23934,0.0022175,0.04521,-0.0176855,-3.548e-05,0.00022492,0.00099632
24829,-0.0027825,0.04521,0.0023145,-3.548e-05,-0.00057508,0.00099632
25645,0.0422175,-0.00479,0.0123145,-3.548e-05,-0.00017508,-0.00020368
26521,0.0022175,-0.05479,-0.0026855,-3.548e-05,0.00022492,-0.00060368
27328,0.0022175,-0.02979,0.0273145,-3.548e-05,0.00062492,0.00019632
28178,0.0022175,-0.00479,0.0373145,-3.548e-05,0.00022492,0.00139632
28956,-0.0427825,-0.00479,0.0173145,-3.548e-05,0.00022492,0.00139632
29831,0.0222175,0.01021,0.0373145,-3.548e-05,0.00022492,0.00019632
30649,0.0222175,-0.03979,0.0173145,-3.548e-05,-0.00017508,0.00059632
31465,0.0222175,-0.01979,-0.0076855,-3.548e-05,-0.00017508,-0.00060368
32309,0.0172175,0.05521,-0.0176855,-3.548e-05,-0.00017508,0.00019632
33132,-0.0427825,0.04521,-0.0076855,-3.548e-05,-0.00017508,0.00099632
33957,0.0622175,-0.04479,-0.0026855,0.00036452,0.00022492,-0.00020368
34911,0.0022175,-0.05479,0.0273145,-3.548e-05,0.00062492,-0.00060368
35610,-0.0427825,-0.02979,0.0073145,-3.548e-05,0.00022492,0.00019632
36591,-0.0627825,-0.03979,0.0173145,-3.548e-05,0.00022492,0.00059632
37319,0.0422175,-0.00479,0.0023145,-3.548e-05,-0.00017508,0.00059632
38150,0.0422175,-0.02979,0.0073145,0.00036452,-0.00017508,0.00019632
38961,-0.0427825,-0.02979,0.0173145,0.00036452,-0.00017508,0.00019632
39815,-0.0627825,-0.01479,0.0273145,-3.548e-05,-0.00017508,0.00019632
40647,-0.0027825,-0.07979,0.0273145,-3.548e-05,-0.00017508,-0.00020368
41466,-0.0227825,0.01021,0.0373145,-3.548e-05,0.00022492,0.00099632
42341,-0.0677825,0.01021,0.0023145,-3.548e-05,0.00022492,0.00099632
43156,0.0022175,-0.02979,-0.0026855,-3.548e-05,0.00022492,0.00099632
43959,0.0222175,-0.06479,0.0173145,-3.548e-05,-0.00017508,0.00099632
44832,0.0422175,-0.05479,0.0273145,-3.548e-05,-0.00017508,0.00019632
45612,0.0222175,-0.03979,0.0173145,-0.00043548,-0.00017508,0.00059632
46485,-0.0427825,-0.00479,0.0173145,-3.548e-05,0.00022492,0.00059632
47285,-0.0227825,-0.11479,0.0473145,-3.548e-05,0.00022492,0.00059632
48133,0.0172175,-0.03979,0.0173145,0.00036452,-0.00017508,0.00139632
