V_SidePalm[mV],V_ThumpPalm[mV],V_UpperPalm[mV],V_Middle[mV],V_Index[mV],V_Thump[mV]
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.98,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.44,0,0,0,0,0
4.89,0,0,0,0,0
5.38,0,0,0,0,0
4.89,0,0,0,0,0
5.38,0,0,0,0,0
5.38,0,0,0,0,0
1.47,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1362.66,0,0,0,0,0
8.31,0,0,0,0,0
0,0,0,0.49,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
364.61,0,0,0,0,0
960.41,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2672.04,0,0,0,0,0
87,0,0,0,0,0
0,0,0,0,0,0
414.47,0,0,0,0,0
3955.52,0,0,0,0,0
298.14,0,0,0,0,0
0,0,0,0,0,0
3719.94,0,0,0,0,0
4271.75,0,0,0,0,0
47.9,0,0,0,0,0
102.15,0,0,0,0,0
4109.48,0,0,0,0,0
4551.81,0,0,0,0,0
4423.27,0,0,0,0,0
3652,0,0,0,0,0
2460.41,0,0,0,0,0
2549.36,0,0,0,0,0
2795.7,0,0,0,0,0
1568.43,0,0,0,0,0
350.93,0,0,0,0,0
0,0,0,6.84,0,0
0,0,0,8.31,0,0
0,0,0,7.33,0,0
0,0,0,6.35,0,0
0,0,0,0,0,0
0,0,0,5.87,0,0
0,0,0,297.17,0,0
0,0,0,2341.15,0,0
0,0,0,1656.4,0,0
0,0,0,2805.96,0,0
0,0,0,3485.34,0,0
0,0,0,3538.12,0,0
0,0,0,3556.21,0,0
0,0,0,3591.89,0,0
581.62,0,0,3629.52,0,0
3391.5,0,0,3314.27,0,0
3935.97,0,0,658.85,0,0
3988.76,0,0,0,0,0
4058.16,0,0,1.47,0,0
4101.17,0,0,2.44,0,0
3912.02,0,0,4.89,0,0
2966.76,0,0,1429.62,0,0
43.99,0,0,3348.97,0,0
0,0,0,3558.16,0,0
0,0,0,3693.06,0,0
0,0,0,3773.22,0,0
0,0,0,3754.15,0,0
0,0,0,3569.4,0,0
0,0,0,3699.9,0,0
0,0,0,3728.74,0,0
0,0,0,1805.96,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,4.4,0,0,0
0,0,28.84,0,0,0
0,0,14.17,0,0,0
0,0,2.93,0,0,0
0,0,405.67,0,0,0
0,0,4093.84,0,0,0
0,0,4671.07,0,0,0
0,0,4759.53,0,0,0
0,0,4754.64,0,0,0
0,0,4739.98,0,0,0
0,0,4763.93,0,0,0
0,0,4700.39,0,0,0
0,0,3345.55,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,96.29,0.49
0,0,0,0,948.68,1.96
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,87.49,0
0,0,0.49,0,0.49,0
0,0,1.47,0,75.76,0
0,0,0,0,2295.7,0
0,0,0,0,3560.12,0
0,0,0,0,3588.95,0
0,0,0,0,3695.5,0
0,0,0,0,3848,0
0,0,0,0,3864.61,0
0,0,0,0,3873.41,0
0,0,0,0,3875.85,0
0,0,0,0,3900.29,0
0,0,0,0,3913.98,0
0,0,0,0,2305.47,0
0,0,0,0,21.99,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,3.91
0,0,0,0,0,12.22
0,0,0,0,0,23.46
0,0,0,0,0,11.73
0,0,0,0,0,4.89
0,0,0,0,0,189.15
0,0,0,0,0,1822.58
0,0,0,0,0,2871.46
0,0,0,0,0,3194.04
0,0,0,0,0,3508.8
0,0,0,0,0,3643.7
0,0,0,0,0,3742.42
0,0,0,0,0,3814.27
0,0,0,0,0,3792.28
0,0,0,0,0,3548.88
0,0,0,0,0,3512.71
0,0,0,0,0,3331.38
0,0,0,0,0,809.38
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
288.86,0,0,0,0,0
3674.49,0,0,0,0,0
4517.11,0,0,0,0,0
4648.09,0,0,0,0,0
4716.03,0,0,0,0,0
4744.87,0,0,0,0,0
4694.53,0,0,0,0,0
4652.98,0,0,0,0,0
4579.18,0,0,0,0,0
4291.79,0,0,0,0,0
4146.63,0,0,0,0,0
905.67,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
47.41,0,0,63.54,0,0
39.1,0,0,0,0,0
13.2,0,0,0,0,0
1.47,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,256.11,0,0
0,0,0,2537.15,0,0
0,0,0,3242.42,0,0
0,0,0,3448.19,0,0
0,0,0,3526.88,0,0
0,0,0,3641.74,0,0
0,0,0,3655.43,0,0
0,0,0,3638.32,0,0
0,0,0,3566.47,0,0
0,0,0,3561.58,0,0
0,0,0,3501.47,0,0
0,0,0,3489.25,0,0
0,0,0,3497.07,0,0
0,0,0,3491.69,0,0
3.42,0,0,3309.38,0,0
0.49,0,0,3195.5,0,0
0,0,0,3289.34,0,0
0,0,0,3381.72,0,0
0,0,0,3194.53,0,0
0,0,0,3210.65,0,0
0,0,0,3320.14,0,0
0,0,0,3437.44,0,0
0,0,0,3347.02,0,0
0,0,0,1575.27,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.47,0,0,0,0,0
41.54,0,0,0,0,0
1541.54,0,0,0,0,0
909.58,0,0,0,0,0
27.86,0,0,0,0,0
31.28,0,0,0,0,0
6.35,0,0,0,0,0
0.49,0,0,0,0,0
21.02,0,0,173.51,0,0
72.83,0,0,258.55,0,0
3179.86,0,0,993.65,0,0
3612.41,0,0,900.29,0,0
3728.25,0,0,1009.29,0,0
3660.31,0,0,1043.99,0,0
3738.51,0,0,1013.69,0,0
3801.08,0,0,1038.61,0,0
3887.59,0,0,998.04,0,0
3949.17,0,0,912.51,0,0
