V_FSR1[mV],V_FSR2[mV],FSR1_filtered,FSR2_filtered,,,,SME V1,SME V2,,Variance 1,Variance 2
18.08,57.67,18.06585172,57.67959507,,19.15061803,,1.146222957,0.01847266,,0.822675735,1.085178137
16.62,58.65,16.5658368,58.57890072,,57.53408584,,6.404027592,1.245264419,,,
18.57,56.7,18.70628187,56.80678799,,1165,,0.337117292,0.695699183,,,
19.55,57.18,19.3145039,57.08063117,,,,0.159505961,0.12537678,,,
20.04,58.16,20.38224722,58.20354287,,,,0.791000296,0.39176854,,,
20.53,59.14,20.09489459,59.19311203,,,,1.902694631,2.578960299,,,
18.08,59.63,18.56676962,59.45735196,,,,1.146222957,4.392856179,,,
18.57,58.16,18.09725227,58.45133011,,,,0.337117292,0.39176854,,,
18.08,58.16,18.45976981,57.77508499,,,,1.146222957,0.39176854,,,
20.53,57.18,20.31867812,57.61354082,,,,1.902694631,0.12537678,,,
19.06,57.67,19.04850642,57.24438543,,,,0.008211627,0.01847266,,,
17.6,56.7,17.85432524,57.06041219,,,,2.404416262,0.695699183,,,
20.04,57.67,19.56212416,57.42095182,,,,0.791000296,0.01847266,,,
18.57,56.7,19.21718002,56.81328196,,,,0.337117292,0.695699183,,,
18.57,56.7,17.83115153,56.71824151,,,,0.337117292,0.695699183,,,
17.6,56.7,18.34484543,56.58391824,,,,2.404416262,0.695699183,,,
21.02,56.7,20.34716019,56.85727059,,,,3.494588966,0.695699183,,,
19.06,58.16,19.60344972,58.02819241,,,,0.008211627,0.39176854,,,
18.57,55.72,18.18530752,55.76611111,,,,0.337117292,3.290907424,,,
18.57,54.74,18.79480838,54.81824712,,,,0.337117292,7.806915664,,,
18.57,57.18,18.4842684,56.9695942,,,,0.337117292,0.12537678,,,
19.06,57.67,19.03942707,57.98844219,,,,0.008211627,0.01847266,,,
19.55,59.14,19.6420605,58.76305878,,,,0.159505961,2.578960299,,,
19.55,58.16,19.41635353,58.53187307,,,,0.159505961,0.39176854,,,
19.55,57.67,19.70313917,57.36767838,,,,0.159505961,0.01847266,,,
19.06,56.7,18.90205019,56.87962092,,,,0.008211627,0.695699183,,,
19.06,57.18,19.21375935,57.15530247,,,,0.008211627,0.12537678,,,
20.53,57.18,20.38485304,57.04417555,,,,1.902694631,0.12537678,,,
19.06,56.7,19.19702535,56.97440922,,,,0.008211627,0.695699183,,,
18.57,57.18,18.43467092,56.81223798,,,,0.337117292,0.12537678,,,
18.57,55.72,18.71620891,56.12142981,,,,0.337117292,3.290907424,,,
18.08,57.18,17.90565131,56.80726437,,,,1.146222957,0.12537678,,,
18.08,57.18,18.30167307,57.47121508,,,,1.146222957,0.12537678,,,
20.04,57.18,19.75287141,57.00352702,,,,0.791000296,0.12537678,,,
18.57,56.7,18.93710182,56.75412712,,,,0.337117292,0.695699183,,,
18.57,57.67,18.11441086,57.7193053,,,,0.337117292,0.01847266,,,
19.06,58.16,19.60395089,58.04804131,,,,0.008211627,0.39176854,,,
20.53,58.16,19.90891548,58.2819315,,,,1.902694631,0.39176854,,,
18.08,59.14,18.75481517,59.05891873,,,,1.146222957,2.578960299,,,
19.55,56.21,18.85574608,56.21548682,,,,0.159505961,1.753203304,,,
19.06,55.23,19.73214328,55.30878423,,,,0.008211627,5.308811544,,,
20.04,57.67,19.43351098,57.52589751,,,,0.791000296,0.01847266,,,
17.6,58.16,18.10130658,58.33102365,,,,2.404416262,0.39176854,,,
18.08,59.63,17.71367829,59.47460211,,,,1.146222957,4.392856179,,,
17.6,57.67,17.81531899,57.77987351,,,,2.404416262,0.01847266,,,
19.06,57.18,18.99684944,57.12096829,,,,0.008211627,0.12537678,,,
20.04,58.16,19.96210559,58.18982926,,,,0.791000296,0.39176854,,,
18.08,56.7,18.28101375,56.6589545,,,,1.146222957,0.695699183,,,
18.57,57.18,18.26441232,57.27604318,,,,0.337117292,0.12537678,,,
18.57,57.18,18.96493146,56.99829381,,,,0.337117292,0.12537678,,,
18.57,55.72,18.09793986,55.9936084,,,,0.337117292,3.290907424,,,
18.08,57.67,18.61572348,57.32513665,,,,1.146222957,0.01847266,,,
19.55,57.67,18.97118196,58.04499077,,,,0.159505961,0.01847266,,,
18.57,58.65,19.15992668,58.29422947,,,,0.337117292,1.245264419,,,
19.55,56.7,18.99274254,56.99259594,,,,0.159505961,0.695699183,,,
17.6,57.18,18.07337636,56.97871946,,,,2.404416262,0.12537678,,,
19.06,57.67,18.72109044,57.77146015,,,,0.008211627,0.01847266,,,
18.57,57.18,18.73377188,57.17112431,,,,0.337117292,0.12537678,,,
18.08,57.67,18.11453244,57.5994951,,,,1.146222957,0.01847266,,,
18.57,56.21,18.33521944,56.35201168,,,,0.337117292,1.753203304,,,
18.57,57.18,18.98661874,56.9615273,,,,0.337117292,0.12537678,,,
20.04,58.16,19.47551272,58.47225313,,,,0.791000296,0.39176854,,,
18.08,57.18,18.74989282,56.75364712,,,,1.146222957,0.12537678,,,
20.53,56.21,19.79859605,56.75871768,,,,1.902694631,1.753203304,,,
20.04,56.7,20.79240737,56.04710635,,,,0.791000296,0.695699183,,,
19.55,56.21,18.81216736,56.91557709,,,,0.159505961,1.753203304,,,
18.57,58.16,19.26192685,57.48123163,,,,0.337117292,0.39176854,,,
21.02,53.76,20.40146847,54.32205279,,,,3.494588966,14.2437239,,,
18.57,57.18,19.09327692,56.81033128,,,,0.337117292,0.12537678,,,
20.04,57.67,19.62459759,57.80849697,,,,0.791000296,0.01847266,,,
19.55,56.21,19.85711352,56.29288492,,,,0.159505961,1.753203304,,,
19.55,59.14,19.33974342,58.89053962,,,,0.159505961,2.578960299,,,
20.04,58.16,20.1720539,58.4928291,,,,0.791000296,0.39176854,,,
19.55,57.67,19.47761117,57.34261483,,,,0.159505961,0.01847266,,,
19.55,57.18,19.57440599,57.4287845,,,,0.159505961,0.12537678,,,
19.55,57.67,19.57146458,57.54303584,,,,0.159505961,0.01847266,,,
18.57,58.16,18.49828545,58.15699132,,,,0.337117292,0.39176854,,,
19.55,57.18,19.67492439,57.28945848,,,,0.159505961,0.12537678,,,
19.55,57.18,19.37955777,57.00983638,,,,0.159505961,0.12537678,,,
19.06,57.67,19.25162834,57.84525457,,,,0.008211627,0.01847266,,,
20.53,58.16,20.35744695,58.03270196,,,,1.902694631,0.39176854,,,
19.55,57.67,19.65536701,57.7093645,,,,0.159505961,0.01847266,,,
19.55,58.16,19.55470425,58.22838647,,,,0.159505961,0.39176854,,,
19.55,58.16,19.41132279,57.98663361,,,,0.159505961,0.39176854,,,
19.55,57.18,19.81772694,57.43592698,,,,0.159505961,0.12537678,,,
19.55,58.65,19.18937328,58.34583187,,,,0.159505961,1.245264419,,,
17.6,57.18,17.99268177,57.49651309,,,,2.404416262,0.12537678,,,
20.04,57.18,19.6865701,56.87903867,,,,0.791000296,0.12537678,,,
19.06,57.67,19.31033259,57.94137844,,,,0.008211627,0.01847266,,,
18.57,58.16,18.46304964,57.91747543,,,,0.337117292,0.39176854,,,
19.55,57.18,19.50637913,57.40575831,,,,0.159505961,0.12537678,,,
19.55,57.18,19.71747147,56.95348127,,,,0.159505961,0.12537678,,,
19.55,56.7,19.31200371,56.94371686,,,,0.159505961,0.695699183,,,
18.57,57.67,18.81166906,57.39930158,,,,0.337117292,0.01847266,,,
19.06,57.67,18.87926659,57.96734243,,,,0.008211627,0.01847266,,,
18.57,58.16,18.64252502,57.84715284,,,,0.337117292,0.39176854,,,
19.06,57.18,19.11457887,57.48869989,,,,0.008211627,0.12537678,,,
18.57,58.16,18.40194233,57.8788326,,,,0.337117292,0.39176854,,,
17.11,57.18,17.34961862,57.41253289,,,,4.164121927,0.12537678,,,
19.55,57.18,19.29726261,57.00941141,,,,0.159505961,0.12537678,,,
19.06,57.67,19.26675473,57.77659339,,,,0.008211627,0.01847266,,,
18.57,58.65,18.45400649,58.59748158,,,,0.337117292,1.245264419,,,
19.06,58.65,19.06450821,58.6684659,,,,0.008211627,1.245264419,,,
19.06,57.67,19.16120342,57.65918149,,,,0.008211627,0.01847266,,,
19.55,57.18,19.37101049,57.21138352,,,,0.159505961,0.12537678,,,
19.06,57.67,19.27570046,57.59246774,,,,0.008211627,0.01847266,,,
19.55,57.18,19.34091022,57.32296417,,,,0.159505961,0.12537678,,,
19.06,57.67,19.22700108,57.45143922,,,,0.008211627,0.01847266,,,
19.55,58.16,19.44568877,58.45315909,,,,0.159505961,0.39176854,,,
19.55,58.65,19.58846473,58.29537941,,,,0.159505961,1.245264419,,,
19.06,57.67,19.07522749,58.06162875,,,,0.008211627,0.01847266,,,
19.55,58.65,19.50283065,58.25397003,,,,0.159505961,1.245264419,,,
19.06,56.7,19.11481256,57.06478401,,,,0.008211627,0.695699183,,,
