Time,FSR1_mV,FSR2_mV
11:30:02.315,19.55,57.67
11:30:02.426,19.55,58.65
11:30:02.537,19.55,58.65
11:30:02.648,19.55,58.65
11:30:02.759,19.55,58.65
11:30:02.870,19.55,58.65
11:30:02.982,19.55,58.65
11:30:03.092,19.55,58.65
11:30:03.204,19.55,58.65
11:30:03.314,19.55,58.65
11:30:03.425,19.55,58.65
11:30:03.536,19.55,58.65
11:30:03.648,19.55,58.16
11:30:03.759,19.55,58.65
11:30:03.870,19.55,58.65
11:30:03.980,19.55,58.65
11:30:04.091,19.55,58.65
11:30:04.203,19.55,58.65
11:30:04.314,19.55,58.65
11:30:04.425,19.55,58.65
11:30:04.536,19.55,58.65
11:30:04.646,19.55,58.65
11:30:04.758,19.55,58.65
11:30:04.868,19.55,58.65
11:30:04.979,19.55,58.65
11:30:05.091,19.55,58.65
11:30:05.202,19.55,58.65
11:30:05.313,19.55,58.65
11:30:05.424,19.55,58.65
11:30:05.535,19.55,58.65
11:30:05.646,19.55,58.65
11:30:05.757,19.55,58.65
11:30:05.867,19.55,58.65
11:30:05.978,19.55,58.65
11:30:06.090,19.55,58.65
11:30:06.201,19.55,58.65
11:30:06.311,19.55,58.16
11:30:06.423,19.55,58.65
11:30:06.534,19.55,58.65
11:30:06.645,19.55,58.65
11:30:06.756,19.55,58.65
11:30:06.866,19.55,58.65
11:30:06.978,19.55,58.65
11:30:07.089,19.55,58.65
11:30:07.200,19.55,58.65
11:30:07.310,19.55,58.65
11:30:07.422,19.55,58.65
11:30:07.533,19.55,58.65
11:30:07.644,19.55,58.65
11:30:07.755,19.55,58.65
11:30:07.866,19.55,58.65
11:30:07.977,19.55,58.65
11:30:08.088,19.55,58.65
11:30:08.199,19.55,58.65
11:30:08.310,19.55,58.65
11:30:08.421,20.04,58.65
11:30:08.532,19.55,58.65
11:30:08.642,19.55,58.65
11:30:08.753,19.55,58.65
11:30:08.864,19.55,58.65
11:30:08.975,19.55,58.65
11:30:09.087,19.55,58.65
11:30:09.198,19.55,58.65
11:30:09.309,19.55,58.65
11:30:09.420,19.55,58.65
11:30:09.531,19.55,58.65
11:30:09.642,19.55,58.65
11:30:09.753,19.55,58.65
11:30:09.864,19.55,58.65
11:30:09.976,19.55,58.65
11:30:10.086,19.55,58.65
11:30:10.198,19.55,58.65
11:30:10.309,19.55,58.65
11:30:10.420,19.55,58.65
11:30:10.531,19.55,58.65
11:30:10.642,19.55,58.65
11:30:10.752,19.55,58.65
11:30:10.864,19.55,58.65
11:30:10.975,19.55,58.65
11:30:11.086,19.55,58.65
11:30:11.196,19.55,58.65
11:30:11.308,19.55,58.65
11:30:11.419,19.55,58.65
11:30:11.530,19.55,58.16
11:30:11.640,19.55,58.65
11:30:11.751,19.55,58.16
11:30:11.863,19.55,58.65
11:30:11.974,19.55,58.65
11:30:12.085,19.55,58.65
11:30:12.195,19.55,58.65
11:30:12.307,19.55,58.65
11:30:12.417,19.55,58.65
11:30:12.529,19.55,58.65
11:30:12.639,19.55,58.16
11:30:12.751,19.55,58.65
11:30:12.862,19.55,58.65
11:30:12.972,19.55,58.65
11:30:13.083,19.55,58.16
11:30:13.194,19.55,58.65
11:30:13.306,19.55,58.65
11:30:15.532,19.55,58.65
11:30:15.644,20.04,58.65
11:30:15.757,19.06,58.16
11:30:15.868,19.55,58.16
11:30:15.979,18.57,57.67
11:30:16.093,19.06,57.67
11:30:16.203,19.55,58.65
11:30:16.318,19.06,56.7
11:30:16.430,19.06,58.16
11:30:16.557,19.06,58.65
11:30:16.677,20.53,58.16
11:30:16.789,19.06,57.67
11:30:16.900,19.06,58.65
11:30:17.016,20.04,58.65
11:30:17.135,19.06,58.16
11:30:17.245,19.55,59.14
11:30:17.357,19.55,57.18
11:30:17.467,19.06,58.16
11:30:17.578,20.53,58.65
11:30:17.690,18.57,58.65
11:30:17.801,20.53,57.67
11:30:17.913,19.06,57.67
11:30:18.024,19.55,58.65
11:30:18.135,19.55,58.65
11:30:18.245,19.55,58.16
11:30:18.357,19.55,58.65
11:30:18.468,19.55,58.16
11:30:18.578,19.55,58.16
11:30:18.689,19.06,58.65
11:30:18.801,19.55,58.65
11:30:18.914,19.55,58.65
11:30:19.026,19.55,58.65
11:30:19.137,19.55,58.65
11:30:19.249,283.48,58.16
11:30:19.361,2674.98,71.85
11:30:19.473,3448.68,74.29
11:30:19.585,3654.94,77.71
11:30:19.695,3741.94,78.2
11:30:19.807,3804.5,78.2
11:30:19.918,3849.95,78.2
11:30:20.029,3891.01,78.2
11:30:20.140,3919.84,78.2
11:30:20.251,3946.73,78.2
11:30:20.362,3967.25,79.18
11:30:20.474,3991.2,82.11
11:30:20.584,4005.87,82.11
11:30:20.701,4013.68,80.65
11:30:20.812,4017.6,81.62
11:30:20.923,4024.93,81.62
11:30:21.034,4045.94,82.6
11:30:21.146,4056.21,82.6
11:30:21.256,4057.18,83.09
11:30:21.368,4061.09,81.62
11:30:21.479,4065.98,81.13
11:30:21.590,4065.98,81.62
11:30:21.701,4068.43,81.62
11:30:21.814,4071.36,81.62
11:30:21.925,4073.31,81.13
11:30:22.037,4076.25,82.11
11:30:22.147,4076.25,80.65
11:30:22.258,4076.25,82.11
11:30:22.370,4076.25,82.11
11:30:22.481,4075.76,81.62
11:30:22.592,4073.31,80.65
11:30:22.702,4071.85,81.62
11:30:22.815,4063.05,83.09
11:30:22.927,3852.88,78.69
11:30:23.038,2376.34,68.91
11:30:23.149,120.72,58.65
11:30:23.259,19.55,58.65
11:30:23.370,19.55,58.16
11:30:23.481,19.55,58.16
11:30:23.592,19.55,58.16
11:30:23.703,19.06,57.67
11:30:23.814,19.55,57.67
11:30:23.925,20.04,58.16
11:30:24.036,19.55,57.18
11:30:24.150,19.55,58.65
11:30:24.261,882.21,62.56
11:30:24.373,2362.17,70.38
11:30:24.485,3162.76,73.31
11:30:24.597,3531.77,75.76
11:30:24.708,3737.54,77.22
11:30:24.819,3868.52,78.2
11:30:24.931,3928.64,78.2
11:30:25.041,3942.82,78.69
11:30:25.153,3950.15,78.69
11:30:25.266,3950.15,78.69
11:30:25.378,3949.17,78.69
11:30:25.489,3949.17,78.69
11:30:25.599,3949.17,78.69
11:30:25.711,3941.84,78.2
11:30:25.823,3937.44,78.2
11:30:25.934,3944.77,78.2
11:30:26.044,3949.17,78.2
11:30:26.156,3949.17,78.2
11:30:26.267,3949.17,78.69
11:30:26.377,3946.24,78.69
11:30:26.489,3945.75,77.71
11:30:26.601,3947.7,78.2
11:30:26.713,3960.41,78.2
11:30:26.825,3959.43,78.2
11:30:26.937,3951.12,79.18
11:30:27.049,3946.73,78.69
11:30:27.161,3927.18,78.2
11:30:27.273,3326.49,75.27
11:30:27.385,966.76,63.54
11:30:27.497,19.55,58.65
11:30:27.608,19.55,58.65
11:30:27.719,19.55,58.65
11:30:27.830,19.55,58.16
