V_SidePalm[N],V_ThumpPalm[N],V_UpperPalm[N],V_Middle[N],V_Index[N],V_Thumb[N]
0.0,0.48,2.43,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,3.57,1.92,0.0,0.21,0.0
2.75,8.7,3.94,0.0,0.21,0.0
4.3,11.05,4.65,0.0,0.21,0.0
6.13,11.5,4.76,0.0,0.22,0.0
6.73,11.68,4.93,0.0,0.22,0.0
7.41,12.0,4.87,0.0,0.22,0.0
7.74,12.18,4.85,0.0,0.22,0.0
7.87,12.23,4.82,0.0,0.21,0.0
7.89,12.11,4.87,0.0,0.22,0.0
8.09,12.36,4.56,0.0,0.22,0.0
8.22,12.34,4.41,0.0,0.22,0.0
8.0,12.09,4.42,0.0,0.22,0.0
6.28,10.92,4.32,0.0,0.22,0.0
3.3,8.96,4.01,0.0,0.21,0.0
2.66,9.6,4.61,0.0,0.22,0.0
4.22,10.92,5.63,0.0,0.22,0.0
5.24,11.6,6.19,0.0,0.22,0.0
2.64,9.21,6.69,0.0,0.21,0.0
0.0,0.68,2.52,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.22,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.18,0.0
0.0,0.0,0.0,0.0,0.17,0.0
0.0,0.0,0.0,0.0,0.18,0.0
3.05,3.78,3.34,0.0,0.2,0.0
10.36,13.15,9.24,0.0,0.21,0.0
15.5,17.97,16.74,0.0,0.21,0.0
18.51,22.09,22.17,0.0,0.21,0.0
22.38,25.92,22.52,0.0,0.22,0.0
28.01,27.16,22.0,0.0,0.22,0.0
30.32,27.09,23.04,0.0,0.22,0.32
31.18,27.19,22.99,0.0,0.38,1.68
31.38,27.03,24.11,0.0,1.4,3.44
31.63,26.77,26.71,0.0,1.78,4.43
32.61,27.75,27.87,0.0,2.0,4.7
31.91,27.69,27.62,0.0,2.44,5.08
31.5,27.49,27.81,0.0,2.7,5.53
32.43,28.88,30.13,0.0,2.52,4.95
33.12,29.98,31.47,0.03,2.15,3.74
33.71,30.24,31.83,0.0,2.15,4.12
34.07,30.34,32.56,0.0,2.31,4.63
35.47,30.57,33.94,0.0,2.26,4.61
35.84,29.66,34.32,0.03,1.71,4.03
35.23,29.71,29.89,0.0,1.37,2.92
34.51,29.11,21.08,0.0,1.13,1.56
30.8,25.4,12.57,0.0,0.5,0.14
24.14,19.98,10.21,0.0,0.22,0.0
17.32,15.56,7.6,0.0,0.2,0.0
8.57,9.15,6.85,0.0,0.2,0.0
0.0,0.0,0.95,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.21,0.85
0.0,0.0,1.19,0.0,0.24,3.13
8.13,7.15,14.72,0.0,0.26,3.57
14.33,20.07,15.86,0.0,0.63,3.71
17.19,24.52,18.52,0.0,1.08,3.34
19.64,24.68,19.17,0.0,1.1,2.82
23.2,24.26,18.83,0.0,1.16,2.84
26.55,25.06,18.2,0.0,1.44,2.88
27.22,25.98,20.09,0.0,1.81,3.49
27.24,25.81,22.41,0.0,1.69,3.52
28.21,25.52,24.83,0.0,1.3,3.26
27.92,25.25,26.16,0.0,1.08,3.17
26.93,25.5,27.23,0.0,0.97,3.07
27.19,25.6,28.9,0.0,0.93,3.12
27.18,25.54,31.1,0.0,0.95,3.2
26.9,25.57,31.77,0.0,0.96,3.35
26.75,25.65,31.88,0.0,0.97,3.36
26.57,25.57,31.31,0.0,0.91,3.32
26.61,25.59,31.45,0.0,0.94,3.39
27.06,26.18,29.53,0.0,1.06,3.68
28.58,26.68,30.11,0.0,1.25,4.11
29.77,26.73,31.42,0.0,1.3,4.08
30.11,26.93,32.65,0.0,1.26,3.88
30.55,27.35,33.3,0.0,1.17,3.77
31.53,27.61,34.01,0.0,1.15,3.79
31.98,27.72,34.13,0.0,1.14,3.79
32.1,27.65,33.12,0.0,1.14,3.76
32.48,28.16,32.62,0.0,1.17,3.82
33.72,29.39,32.65,0.0,1.24,3.89
35.36,30.73,32.94,0.0,1.14,3.66
36.34,30.74,29.31,0.0,0.7,2.63
34.93,28.24,18.89,0.0,0.25,0.95
25.08,20.9,10.97,0.0,0.21,0.0
16.92,14.13,7.98,0.0,0.2,0.0
11.44,5.92,6.57,0.0,0.2,0.0
0.72,0.0,0.74,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.19,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.21,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
0.0,0.0,0.0,0.0,0.2,0.0
